oid_evbc_b64,total_assessed_value,total_assessed_building,total_assessed_land,previous_total,previous_land,previous_building,year_built,address,geometry,bedrooms,bathrooms,carport,garage,storeys,sales_history,zoning,pid
QTAwMDBNMVVZOA==,300000,197000,103000,307000,108000,199000,1969,4013 THOMAS ST,"[[-1431701685, 727174083], [-1431701839, 727168990], [-1431708544, 727169187], [-1431708411, 727174281], [-1431701685, 727174083]]",4,2,0,1,,[],R1,018-231-896
QTAwMDBNMVVZOQ==,427100,334000,93100,425000,98000,327000,1994,4017 THOMAS ST,"[[-1431701550, 727178506], [-1431701685, 727174083], [-1431708411, 727174281], [-1431708296, 727178705], [-1431701550, 727178506]]",3,3,0,1,,"[{""date"": ""2014-06-27"", ""price"": 399000}]",R1,018-231-900
QTAwMDBNMVVZQQ==,500000,369000,131000,497000,138000,359000,1995,3810 MARSHALL ST,"[[-1431837903, 727098813], [-1431837735, 727106472], [-1431829950, 727106173], [-1431830117, 727098503], [-1431837903, 727098813]]",4,4,0,1,,[],RS1,018-243-533
QTAwMDBNMVVZQg==,165800,34800,131000,173300,138000,35300,1952,5136 MCCONNELL AVE,"[[-1431838071, 727091155], [-1431837903, 727098813], [-1431830117, 727098503], [-1431830284, 727090833], [-1431838071, 727091155]]",2,1,1,0,,"[{""date"": ""2014-03-19"", ""price"": 150500}]",RS1,018-243-568
QTAwMDBNMVVZQw==,417100,324000,93100,417000,98000,319000,1997,4021 THOMAS ST,"[[-1431701416, 727182930], [-1431701550, 727178506], [-1431708296, 727178705], [-1431708181, 727183129], [-1431701416, 727182930]]",4,3,1,1,,[],R1,018-489-052
QTAwMDBNMVVZRA==,769000,521000,248000,783000,248000,535000,1994,5033 HALLIWELL AVE,"[[-1431768042, 727204269], [-1431767648, 727218228], [-1431759045, 727217977], [-1431759624, 727193695], [-1431760621, 727151903], [-1431769268, 727152139], [-1431768814, 727172911], [-1431768301, 727193742], [-1431768289, 727194254], [-1431768042, 727204269]]",4,4,0,1,,[],AR2,018-789-455
QTAwMDBNMVVZRQ==,684000,436000,248000,698000,248000,450000,2012,5027 HALLIWELL AVE,"[[-1431750443, 727217727], [-1431751000, 727193648], [-1431751972, 727151661], [-1431760621, 727151903], [-1431759624, 727193695], [-1431759045, 727217977], [-1431750443, 727217727]]",3,2,0,1,,[],AR2,018-789-471
QTAwMDBNMVVZRg==,368000,204000,164000,371000,164000,207000,1964,5103 HALLIWELL AVE,"[[-1431776647, 727204528], [-1431776301, 727218481], [-1431767648, 727218228], [-1431768042, 727204269], [-1431776647, 727204528]]",6,1,0,1,,[],AR2,019-161-450
QTAwMDBNMVVZRw==,432900,342000,90900,431700,95700,336000,1995,3817 THOMAS ST,"[[-1431703429, 727116360], [-1431703540, 727112685], [-1431718144, 727113126], [-1431718069, 727116802], [-1431703429, 727116360]]",5,3,1,1,,[],R1,019-206-208
QTAwMDBNMVVZSw==,350000,136000,214000,378000,240000,138000,1933,5024 MCCONNELL AVE,"[[-1431752047, 727148217], [-1431752012, 727149940], [-1431743358, 727149702], [-1431734706, 727149457], [-1431735988, 727086926], [-1431744636, 727087285], [-1431743842, 727126070], [-1431752499, 727126307], [-1431752472, 727127611], [-1431752390, 727131574], [-1431752312, 727135365], [-1431752231, 727139328], [-1431752152, 727143118], [-1431752047, 727148217]]",3,1,0,1,,[],R1,024-180-203
RDAwMDAxNkJSVg==,524000,287000,237000,526000,237000,289000,1972,5107 HALLIWELL AVE,"[[-1431793382, 727189636], [-1431793277, 727193878], [-1431792655, 727218957], [-1431784906, 727218731], [-1431776301, 727218481], [-1431776647, 727204528], [-1431776913, 727193789], [-1431777028, 727189160], [-1431793382, 727189636]]",4,2,0,1,,[],AR2,026-373-025
RDAwMDAxNkJSWA==,357000,0,357000,357000,357000,0,,5117 HALLIWELL AVE,"[[-1431812580, 727151683], [-1431812532, 727153406], [-1431811413, 727193976], [-1431811094, 727205530], [-1431811044, 727205529], [-1431802513, 727205281], [-1431802109, 727219232], [-1431798671, 727219132], [-1431792655, 727218957], [-1431793277, 727193878], [-1431793382, 727189636], [-1431777028, 727189160], [-1431776913, 727193789], [-1431776647, 727204528], [-1431768042, 727204269], [-1431768289, 727194254], [-1431768301, 727193742], [-1431768814, 727172911], [-1431769325, 727152150], [-1431777976, 727152393], [-1431778016, 727150671], [-1431778053, 727148947], [-1431795340, 727149446], [-1431795304, 727151169], [-1431803943, 727151429], [-1431812580, 727151683]]",,,0,0,,[],AR2,026-373-033
RDAwMDAxNkJTMA==,499000,263000,236000,561000,369000,192000,2015,5114 MCCONNELL AVE,"[[-1431769528, 727139685], [-1431769610, 727135722], [-1431769687, 727131931], [-1431769769, 727127968], [-1431769846, 727124178], [-1431769928, 727120215], [-1431770006, 727116424], [-1431770013, 727116054], [-1431778665, 727116421], [-1431787317, 727116780], [-1431787879, 727089076], [-1431796579, 727089438], [-1431795340, 727149446], [-1431778053, 727148947], [-1431769344, 727148698], [-1431769451, 727143476], [-1431769528, 727139685]]",3,1,0,0,,[],R1,026-373-041
RDAwMDBBVDg3Sg==,647000,442000,205000,654000,205000,449000,1992,5133 HALLIWELL AVE,"[[-1431827411, 727219963], [-1431819260, 727219723], [-1431820217, 727185774], [-1431828420, 727186013], [-1431827411, 727219963]]",3,4,0,1,,[],AR2,027-975-991
RDAwMDBUMUZBMQ==,87900,0,87900,92500,92500,0,,5108 JOLLIFFE AVE,"[[-1431780108, 727053337], [-1431779998, 727058712], [-1431779991, 727059057], [-1431776160, 727058976], [-1431776280, 727053256], [-1431780108, 727053337]]",,,0,0,,[],R3,029-444-641
RDAwMDBUMUZBRg==,87900,0,87900,92500,92500,0,,5106 JOLLIFFE AVE,"[[-1431776280, 727053256], [-1431776160, 727058976], [-1431772332, 727058895], [-1431772339, 727058550], [-1431772453, 727053175], [-1431776280, 727053256]]",,,0,0,,[],R3,029-444-659
RDAwMDBUMUZBVQ==,86700,0,86700,91300,91300,0,,5111 JOLLIFFE AVE,"[[-1431788341, 727043517], [-1431788206, 727050063], [-1431784621, 727049987], [-1431784758, 727043444], [-1431788341, 727043517]]",,,0,0,,"[{""date"": ""2016-04-28"", ""price"": 110250}]",R1,029-444-667
RDAwMDBUMUZCNw==,86700,0,86700,91300,91300,0,,5109 JOLLIFFE AVE,"[[-1431784758, 727043444], [-1431784621, 727049987], [-1431781036, 727049911], [-1431781174, 727043371], [-1431784758, 727043444]]",,,0,0,,[],R1,029-444-675
RDAwMDBUMUZCWg==,86700,0,86700,91300,91300,0,,5105 JOLLIFFE AVE,"[[-1431774006, 727043225], [-1431777589, 727043298], [-1431777451, 727049836], [-1431773867, 727049761], [-1431774005, 727043277], [-1431774006, 727043225]]",,,0,0,,[],R1,029-444-691
RDAwMDBTQzVENA==,836000,560000,276000,276000,276000,0,2016,25-3701 CORY DR,"[[-1431768503, 727058813], [-1431772332, 727058895], [-1431776160, 727058976], [-1431779991, 727059057], [-1431779950, 727060972], [-1431779770, 727069580], [-1431779602, 727077571], [-1431774485, 727076749], [-1431767703, 727076465], [-1431767525, 727084770], [-1431764026, 727084623], [-1431763354, 727083907], [-1431763897, 727058716], [-1431768503, 727058813]]",3,3,0,1,,[],R3,029-387-442
RDAwMDBHTVg2TQ==,294500,239000,55500,304500,58500,246000,2011,1-5102 JOLLIFFE AVE,"[[-1431768624, 727053094], [-1431768504, 727058814], [-1431766320, 727058768], [-1431763898, 727058717], [-1431764007, 727053686], [-1431764709, 727053011], [-1431766432, 727053048], [-1431768624, 727053094]]",3,2,0,1,,[],,
RDAwMDBHTVg1VA==,284700,235000,49700,295300,52300,243000,2011,2-5102 JOLLIFFE AVE,"[[-1431768624, 727053094], [-1431768504, 727058814], [-1431766320, 727058768], [-1431763898, 727058717], [-1431764007, 727053686], [-1431764709, 727053011], [-1431766432, 727053048], [-1431768624, 727053094]]",3,2,0,1,,[],R3,028-900-511
RDAwMDBHTjI1Tg==,386300,297000,89300,386000,94000,292000,2014,3609 CORY DR,"[[-1431770353, 727045893], [-1431770272, 727049685], [-1431764780, 727049566], [-1431764106, 727048862], [-1431764170, 727045762], [-1431770353, 727045893]]",4,3,0,1,,"[{""date"": ""2016-03-11"", ""price"": 427000}]",R1,028-893-093
RDAwMDBHTjI2Mg==,399400,312000,87400,408000,92000,316000,2013,3607 CORY DR,"[[-1431770411, 727043151], [-1431770353, 727045893], [-1431764170, 727045762], [-1431764246, 727042075], [-1431770430, 727042206], [-1431770411, 727043151]]",2,2,0,1,,[],R1,028-893-107
RDAwMDBHTjI2Rg==,467700,380000,87700,459300,92300,367000,2013,3605 CORY DR,"[[-1431770509, 727038502], [-1431770430, 727042206], [-1431764246, 727042075], [-1431764323, 727038371], [-1431770509, 727038502]]",4,4,0,1,,[],R1,028-893-115
RDAwMDBHTjI2Vg==,453900,367000,86900,446500,91500,355000,2013,5103 JOLLIFFE AVE,"[[-1431770411, 727043151], [-1431774006, 727043227], [-1431773865, 727049763], [-1431770272, 727049685], [-1431770353, 727045893], [-1431770411, 727043151]]",3,3,0,1,,[],R1,028-893-123
QTAwMDBNMVVZUA==,832000,0,832000,832000,832000,0,,5102 LANFEAR DR,"[[-1431759355, 726992217], [-1431758504, 726995933], [-1431758126, 727000298], [-1431757799, 727004072], [-1431757472, 727007846], [-1431756914, 727011592], [-1431756356, 727015338], [-1431755798, 727019084], [-1431755382, 727021874], [-1431755240, 727022830], [-1431754580, 727027257], [-1431754567, 727027282], [-1431752706, 727030665], [-1431752570, 727037217], [-1431739567, 727036926], [-1431731243, 727036737], [-1431731791, 727021873], [-1431731970, 727017146], [-1431733873, 727000673], [-1431732256, 726978318], [-1431732302, 726978043], [-1431733395, 726971441], [-1431737278, 726968410], [-1431739059, 726968152], [-1431749704, 726978138], [-1431753111, 726981332], [-1431752918, 726981542], [-1431752729, 726981756], [-1431752544, 726981973], [-1431752362, 726982193], [-1431752184, 726982416], [-1431752010, 726982643], [-1431751841, 726982872], [-1431751675, 726983105], [-1431751513, 726983340], [-1431751355, 726983578], [-1431751202, 726983818], [-1431751052, 726984062], [-1431750907, 726984308], [-1431750767, 726984556], [-1431750630, 726984807], [-1431750498, 726985060], [-1431750371, 726985316], [-1431750248, 726985574], [-1431750129, 726985833], [-1431750015, 726986095], [-1431749906, 726986359], [-1431749801, 726986625], [-1431749701, 726986892], [-1431749605, 726987161], [-1431749514, 726987432], [-1431749428, 726987704], [-1431749347, 726987978], [-1431749270, 726988253], [-1431749198, 726988530], [-1431749132, 726988808], [-1431749069, 726989086], [-1431749012, 726989366], [-1431748960, 726989647], [-1431748912, 726989929], [-1431748870, 726990211], [-1431748832, 726990494], [-1431748800, 726990778], [-1431748772, 726991063], [-1431748749, 726991347], [-1431748731, 726991632], [-1431748718, 726991918], [-1431748710, 726992203], [-1431748709, 726992733], [-1431752147, 726992687], [-1431752146, 726992461], [-1431752149, 726992236], [-1431752156, 726992010], [-1431752167, 726991785], [-1431752181, 726991560], [-1431752200, 726991335], [-1431752222, 726991111], [-1431752249, 726990887], [-1431752279, 726990663], [-1431752313, 726990440], [-1431752351, 726990218], [-1431752393, 726989996], [-1431752459, 726989684], [-1431759355, 726992217]]",,,0,0,,[],R1,010-158-952
RDAwMDBCUldZVQ==,237100,164000,73100,239100,73100,166000,1974,5022 WALSH AVE,"[[-1431754039, 726947936], [-1431748159, 726955523], [-1431748321, 726947647], [-1431751485, 726947806], [-1431754039, 726947936]]",3,2,0,0,,[],R2,028-163-206
QTAwMDBNMVVZUg==,391000,254000,137000,390000,137000,253000,1950,5002 LANFEAR DR,"[[-1431708013, 726958592], [-1431708318, 726947991], [-1431715661, 726952790], [-1431713085, 726957325], [-1431711621, 726959901], [-1431708013, 726958592]]",3,2,0,0,,[],R1,012-898-155
QTAwMDBNMVVZUw==,461000,292000,169000,464000,169000,295000,1974,5123 MCCONNELL AVE,"[[-1431806669, 727069048], [-1431806295, 727086385], [-1431798446, 727086063], [-1431798818, 727068725], [-1431806669, 727069048]]",6,2,1,1,,[],R1,011-911-069
QTAwMDBNMVVZVA==,413200,316000,97200,420000,102000,318000,1980,5129 MCCONNELL AVE,"[[-1431810221, 727086546], [-1431810594, 727069210], [-1431811913, 727069264], [-1431814520, 727069371], [-1431814148, 727086707], [-1431810221, 727086546]]",4,4,0,1,,[],R1,011-910-895
QTAwMDBNMVVZVQ==,303200,206000,97200,309000,102000,207000,1973,5127 MCCONNELL AVE,"[[-1431810594, 727069210], [-1431810221, 727086546], [-1431806295, 727086385], [-1431806669, 727069048], [-1431810594, 727069210]]",4,2,0,1,,[],R1,011-923-415
QTAwMDBNMVVZVg==,504000,335000,169000,504000,169000,335000,1974,5131 MCCONNELL AVE,"[[-1431814148, 727086707], [-1431814520, 727069371], [-1431822371, 727069695], [-1431822001, 727087029], [-1431814148, 727086707]]",7,4,0,1,,[],R1,011-897-058
QTAwMDBNMVVZVw==,556000,387000,169000,499000,169000,330000,1970,5135 MCCONNELL AVE,"[[-1431830222, 727070017], [-1431829854, 727087350], [-1431822001, 727087029], [-1431822371, 727069694], [-1431830222, 727070017]]",5,3,1,1,,[],R1,011-899-981
QTAwMDBNMVVZWA==,263600,91600,172000,264800,172000,92800,1963,5139 MCCONNELL AVE,"[[-1431838523, 727070358], [-1431838155, 727087690], [-1431829854, 727087350], [-1431830222, 727070017], [-1431838523, 727070358]]",2,1,0,0,,[],R1,011-823-828
QTAwMDBNMVVZWQ==,34100,0,34100,34100,34100,0,,3705 THOMAS ST,"[[-1431729623, 727007841], [-1431728573, 727016856], [-1431728378, 727021873], [-1431727773, 727036658], [-1431727389, 727040218], [-1431724113, 727046169], [-1431721362, 727049099], [-1431712816, 727058205], [-1431705150, 727058044], [-1431705422, 727048600], [-1431711154, 727044804], [-1431712982, 727042675], [-1431713801, 727041059], [-1431716617, 727035503], [-1431719334, 727024804], [-1431720364, 727024833], [-1431721235, 727021874], [-1431721517, 727020918], [-1431722649, 727017070], [-1431724085, 727007683], [-1431726512, 727007752], [-1431729623, 727007841]]",,,0,0,,[],P2,011-558-300
QTAwMDBNMVVaMA==,308000,151000,157000,310000,157000,153000,1921,5006 WALSH AVE,"[[-1431721935, 726944577], [-1431727105, 726944839], [-1431726844, 726957078], [-1431721888, 726953105], [-1431719143, 726950905], [-1431713218, 726947029], [-1431713281, 726944138], [-1431721935, 726944577]]",3,3,0,0,,[],R2,011-513-365
QTAwMDBNMVVaMQ==,301000,197000,104000,304000,104000,200000,1971,3411 PHEASANT ST,"[[-1431740839, 726955153], [-1431740835, 726955310], [-1431740756, 726959092], [-1431740599, 726959084], [-1431730277, 726958557], [-1431730361, 726954621], [-1431735592, 726954889], [-1431738732, 726955049], [-1431740839, 726955153]]",5,2,0,1,,[],R2,011-513-381
QTAwMDBNMVVaMg==,361000,239000,122000,361000,122000,239000,1925,3409 PHEASANT ST,"[[-1431735750, 726947010], [-1431735592, 726954889], [-1431730361, 726954621], [-1431730529, 726946745], [-1431735750, 726947010]]",3,2,0,1,,[],R2,011-496-959
QTAwMDBNMVVaMw==,328000,214000,114000,330000,114000,216000,1975,3603 THOMAS ST,"[[-1431727387, 727003556], [-1431726512, 727007752], [-1431724085, 727007683], [-1431723054, 727007654], [-1431721589, 727007612], [-1431712973, 727007366], [-1431706614, 727007185], [-1431706736, 727002960], [-1431710402, 727003066], [-1431714069, 727003172], [-1431717732, 727003277], [-1431721613, 727003389], [-1431723035, 727003431], [-1431724334, 727003468], [-1431727387, 727003556]]",5,2,1,0,,[],R1,011-499-729
QTAwMDBNMVVaNA==,290000,178000,112000,289000,112000,177000,1952,3411 THOMAS ST,"[[-1431707762, 726967355], [-1431707938, 726961217], [-1431714370, 726963551], [-1431714255, 726967543], [-1431707762, 726967355]]",3,3,0,0,,[],R1,010-743-294
QTAwMDBNMVVaOA==,314000,202000,112000,305000,102000,203000,1973,5005 MCRAE CRES,"[[-1431718470, 726963673], [-1431718453, 726963828], [-1431718422, 726964093], [-1431717542, 726971736], [-1431714137, 726971637], [-1431714142, 726971480], [-1431714255, 726967543], [-1431714370, 726963552], [-1431718090, 726963662], [-1431718470, 726963673]]",4,2,1,0,,[],R1,009-561-960
QTAwMDBNMVVaOQ==,273800,178000,95800,274800,95800,179000,1971,5008 LANFEAR DR,"[[-1431716725, 726959401], [-1431719052, 726955298], [-1431721917, 726957599], [-1431718852, 726962998], [-1431718653, 726963350], [-1431718470, 726963673], [-1431718089, 726963663], [-1431714370, 726963551], [-1431716725, 726959401]]",4,2,1,0,,[],R1,009-561-978
QTAwMDBNMVVaQQ==,289500,198000,91500,291500,91500,200000,1974,5010 LANFEAR DR,"[[-1431724780, 726959895], [-1431721822, 726965110], [-1431721393, 726965867], [-1431718470, 726963673], [-1431718653, 726963351], [-1431718854, 726962998], [-1431721863, 726957693], [-1431721917, 726957599], [-1431724780, 726959895]]",3,2,0,1,,[],R1,009-561-994
QTAwMDBNMVVaQg==,92400,0,92400,92400,92400,0,,5012 LANFEAR DR,"[[-1431729557, 726968296], [-1431728403, 726968684], [-1431724924, 726969856], [-1431724917, 726969849], [-1431721815, 726966344], [-1431721393, 726965867], [-1431721822, 726965110], [-1431724780, 726959895], [-1431726353, 726961157], [-1431726530, 726961382], [-1431726694, 726961599], [-1431726855, 726961819], [-1431727011, 726962041], [-1431727164, 726962267], [-1431727313, 726962495], [-1431727458, 726962725], [-1431727598, 726962958], [-1431727735, 726963193], [-1431727868, 726963431], [-1431727996, 726963671], [-1431728120, 726963914], [-1431728240, 726964158], [-1431728356, 726964404], [-1431728467, 726964653], [-1431728574, 726964903], [-1431728677, 726965155], [-1431728775, 726965409], [-1431728869, 726965665], [-1431728958, 726965922], [-1431729043, 726966181], [-1431729123, 726966441], [-1431729142, 726966507], [-1431729199, 726966703], [-1431729270, 726966965], [-1431729337, 726967229], [-1431729399, 726967495], [-1431729456, 726967761], [-1431729509, 726968028], [-1431729557, 726968296]]",,,0,0,,[],R1,009-562-028
QTAwMDBNMVVaQw==,352000,215000,137000,342000,124000,218000,1973,5007 MCRAE CRES,"[[-1431724924, 726969856], [-1431723181, 726970581], [-1431721789, 726971159], [-1431720257, 726971775], [-1431717542, 726971736], [-1431718422, 726964093], [-1431718453, 726963828], [-1431718470, 726963673], [-1431721393, 726965867], [-1431721815, 726966344], [-1431724917, 726969849], [-1431724924, 726969856]]",4,2,1,1,,[],R1,005-118-743
QTAwMDBNMVVaRA==,326000,209000,117000,317000,107000,210000,1973,5011 MCRAE CRES,"[[-1431729557, 726968296], [-1431727789, 726973141], [-1431726806, 726973393], [-1431721770, 726974683], [-1431721175, 726974836], [-1431721231, 726972893], [-1431721229, 726972793], [-1431721217, 726972693], [-1431721196, 726972595], [-1431721165, 726972499], [-1431721126, 726972406], [-1431721076, 726972305], [-1431721015, 726972210], [-1431720945, 726972122], [-1431720866, 726972042], [-1431720778, 726971971], [-1431720683, 726971909], [-1431720583, 726971859], [-1431720477, 726971819], [-1431720368, 726971791], [-1431720257, 726971775], [-1431721789, 726971159], [-1431723181, 726970581], [-1431724924, 726969856], [-1431728403, 726968684], [-1431729557, 726968296]]",4,2,1,1,,[],R1,009-562-052
QTAwMDBNMVVaRQ==,270000,162000,108000,263500,98500,165000,1975,5013 MCRAE CRES,"[[-1431727789, 726973141], [-1431726529, 726976593], [-1431726738, 726977889], [-1431725809, 726977862], [-1431721753, 726977742], [-1431721092, 726977723], [-1431721164, 726975220], [-1431721175, 726974836], [-1431721770, 726974683], [-1431726806, 726973393], [-1431727789, 726973141]]",4,3,1,0,,[],R1,007-419-953
QTAwMDBNMVVaRg==,308000,201000,107000,274400,97400,177000,1974,5015 MCRAE CRES,"[[-1431727392, 726981932], [-1431726243, 726981818], [-1431721733, 726981367], [-1431720990, 726981293], [-1431721085, 726977981], [-1431721092, 726977723], [-1431721753, 726977742], [-1431725809, 726977862], [-1431726738, 726977889], [-1431726758, 726978012], [-1431727392, 726981932]]",4,2,0,1,,"[{""date"": ""2016-06-23"", ""price"": 317000}]",R1,009-562-061
QTAwMDBNMVVaRw==,291000,193000,98000,285100,89100,196000,1974,5019 MCRAE CRES,"[[-1431727899, 726985070], [-1431727288, 726985052], [-1431726595, 726985032], [-1431726586, 726985032], [-1431721714, 726984887], [-1431720887, 726984863], [-1431720990, 726981293], [-1431721733, 726981367], [-1431726243, 726981818], [-1431727392, 726981932], [-1431727899, 726985070]]",3,2,0,1,,[],R1,009-562-095
QTAwMDBNMVVaSA==,271000,171000,100000,264600,91600,173000,1974,5023 MCRAE CRES,"[[-1431727017, 726988614], [-1431726802, 726988608], [-1431721694, 726988459], [-1431720784, 726988432], [-1431720887, 726984863], [-1431721714, 726984887], [-1431726586, 726985032], [-1431726604, 726985178], [-1431727017, 726988614]]",5,2,1,0,,[],R1,009-562-125
QTAwMDBNMVVaSg==,291000,184000,107000,283600,97600,186000,1974,5025 MCRAE CRES,"[[-1431727069, 726993358], [-1431721678, 726991498], [-1431721000, 726991264], [-1431720706, 726991162], [-1431720784, 726988432], [-1431721694, 726988459], [-1431726802, 726988608], [-1431727017, 726988614], [-1431727017, 726988616], [-1431727067, 726993196], [-1431727069, 726993358]]",4,2,0,1,,[],R1,009-562-150
QTAwMDBNMVVaSw==,303000,189000,114000,294000,104000,190000,1974,5027 MCRAE CRES,"[[-1431727218, 726995923], [-1431726841, 726998469], [-1431721660, 726994653], [-1431720627, 726993892], [-1431720692, 726991640], [-1431720703, 726991255], [-1431720706, 726991162], [-1431721000, 726991264], [-1431721678, 726991498], [-1431727069, 726993358], [-1431727069, 726993360], [-1431727218, 726995923]]",4,3,1,0,,[],R1,009-562-184
QTAwMDBNMVVaTA==,369000,255000,114000,369000,103000,266000,1985,5031 MCRAE CRES,"[[-1431727777, 726999159], [-1431727387, 727003556], [-1431724334, 727003468], [-1431723035, 727003431], [-1431721631, 726999951], [-1431720246, 726996463], [-1431720322, 726996384], [-1431720389, 726996297], [-1431720446, 726996203], [-1431720494, 726996104], [-1431720531, 726996000], [-1431720557, 726995894], [-1431720574, 726995730], [-1431720627, 726993892], [-1431721660, 726994653], [-1431726841, 726998469], [-1431726843, 726998470], [-1431727777, 726999159]]",4,4,0,1,,"[{""date"": ""2015-11-27"", ""price"": 368000}]",R1,009-562-214
QTAwMDBNMVVaTQ==,298000,180000,118000,288000,107000,181000,1974,5033 MCRAE CRES,"[[-1431723035, 727003431], [-1431721613, 727003389], [-1431717732, 727003277], [-1431717296, 726996686], [-1431719496, 726996749], [-1431719606, 726996747], [-1431719715, 726996733], [-1431719822, 726996707], [-1431719925, 726996671], [-1431720024, 726996624], [-1431720118, 726996567], [-1431720246, 726996463], [-1431721631, 726999951], [-1431723035, 727003431]]",4,2,1,0,,[],R1,009-562-231
QTAwMDBNMVVaTg==,275600,178000,97600,268700,88700,180000,1975,5035 MCRAE CRES,"[[-1431717732, 727003277], [-1431714069, 727003172], [-1431714258, 726996598], [-1431717296, 726996686], [-1431717732, 727003277]]",3,1,1,0,,[],R1,009-562-265
QTAwMDBNMVVaUA==,272000,166000,106000,268800,96800,172000,1972,5037 MCRAE CRES,"[[-1431714258, 726996598], [-1431714069, 727003172], [-1431710402, 727003066], [-1431710592, 726996492], [-1431714258, 726996598]]",5,2,1,0,,[],R1,009-562-281
QTAwMDBNMVVaUQ==,296400,206000,90400,304400,90400,214000,1972,5041 MCRAE CRES,"[[-1431710592, 726996492], [-1431710402, 727003066], [-1431706736, 727002960], [-1431706925, 726996386], [-1431710592, 726996492]]",3,2,1,0,,"[{""date"": ""2014-08-15"", ""price"": 307000}]",R1,009-562-338
QTAwMDBNMVVaUg==,295200,196000,99200,302200,99200,203000,1972,3511 THOMAS ST,"[[-1431707016, 726993236], [-1431707149, 726988616], [-1431712387, 726988768], [-1431712254, 726993388], [-1431707016, 726993236]]",5,2,1,0,,[],R1,009-562-354
QTAwMDBNMVVaUw==,304200,205000,99200,312200,99200,213000,1972,3509 THOMAS ST,"[[-1431707149, 726988616], [-1431707282, 726983997], [-1431712520, 726984148], [-1431712387, 726988768], [-1431707149, 726988616]]",3,2,1,1,,[],R1,005-201-951
QTAwMDBNMVVaVA==,291200,192000,99200,299200,99200,200000,1972,3505 THOMAS ST,"[[-1431707282, 726983997], [-1431707415, 726979377], [-1431712653, 726979528], [-1431712520, 726984148], [-1431707282, 726983997]]",4,2,1,0,,[],R1,009-562-389
QTAwMDBNMVVaVQ==,280000,179000,101000,287000,101000,186000,1972,3501 THOMAS ST,"[[-1431707415, 726979377], [-1431707552, 726974600], [-1431712790, 726974751], [-1431712653, 726979528], [-1431707415, 726979377]]",3,2,1,0,,[],R1,009-562-419
QTAwMDBNMVVaVg==,350000,234000,116000,342000,105000,237000,1974,5012 MCRAE CRES,"[[-1431717998, 726975952], [-1431717940, 726977964], [-1431717891, 726979680], [-1431712653, 726979528], [-1431712699, 726977935], [-1431712790, 726974751], [-1431716980, 726974872], [-1431717090, 726974881], [-1431717198, 726974901], [-1431717303, 726974933], [-1431717404, 726974975], [-1431717500, 726975028], [-1431717590, 726975090], [-1431717674, 726975162], [-1431717749, 726975242], [-1431717816, 726975329], [-1431717873, 726975423], [-1431717920, 726975523], [-1431717956, 726975626], [-1431717981, 726975733], [-1431717995, 726975842], [-1431717998, 726975952]]",5,3,1,1,,[],R1,008-295-344
QTAwMDBNMVVaVw==,335000,219000,116000,328000,106000,222000,1973,5014 MCRAE CRES,"[[-1431712520, 726984148], [-1431712653, 726979528], [-1431717891, 726979680], [-1431717758, 726984299], [-1431712520, 726984148]]",4,2,0,1,,[],R1,009-562-443
QTAwMDBNMVVaWA==,326000,210000,116000,318000,106000,212000,1973,5018 MCRAE CRES,"[[-1431712387, 726988768], [-1431712520, 726984148], [-1431717758, 726984299], [-1431717625, 726988919], [-1431712387, 726988768]]",4,2,0,1,,"[{""date"": ""2017-01-06"", ""price"": 295000}]",R1,009-562-486
QTAwMDBNMVVaWQ==,141800,25800,116000,323000,106000,217000,1973,5022 MCRAE CRES,"[[-1431717625, 726988919], [-1431717522, 726992489], [-1431717513, 726992599], [-1431717493, 726992707], [-1431717461, 726992812], [-1431717419, 726992913], [-1431717367, 726993010], [-1431717304, 726993100], [-1431717233, 726993184], [-1431717153, 726993259], [-1431717066, 726993326], [-1431716972, 726993383], [-1431716873, 726993430], [-1431716769, 726993467], [-1431716663, 726993492], [-1431716554, 726993506], [-1431716444, 726993509], [-1431712254, 726993388], [-1431712387, 726988768], [-1431717625, 726988919]]",5,2,0,0,,[],R1,007-106-912
RDAwMDBIQVhTVw==,204000,0,204000,223000,223000,0,,3604 CORY DR,"[[-1431739567, 727036926], [-1431752570, 727037217], [-1431754023, 727037244], [-1431753937, 727041363], [-1431760812, 727041512], [-1431760794, 727042373], [-1431753919, 727042224], [-1431737273, 727041864], [-1431739567, 727036926]]",,,0,0,,[],R1,029-013-046
RDAwMDBIQVhUQg==,174000,0,174000,190000,190000,0,,3606 CORY DR,"[[-1431737273, 727041864], [-1431753919, 727042224], [-1431760794, 727042373], [-1431760776, 727043234], [-1431753901, 727043085], [-1431753834, 727046225], [-1431735342, 727045824], [-1431736048, 727044495], [-1431737273, 727041864]]",,,0,0,,[],R1,029-013-054
RDAwMDBIQVhUVA==,202000,0,202000,220000,220000,0,,3612 CORY DR,"[[-1431735342, 727045824], [-1431753834, 727046225], [-1431753768, 727049364], [-1431760644, 727049513], [-1431760608, 727051235], [-1431753732, 727051087], [-1431732785, 727050633], [-1431735342, 727045824]]",,,0,0,,[],R1,029-013-062
RDAwMDBIQVhVOQ==,436500,339000,97500,436000,102000,334000,2014,3602 CORY DR,"[[-1431754023, 727037244], [-1431756695, 727037302], [-1431760899, 727037392], [-1431760812, 727041512], [-1431753937, 727041363], [-1431754023, 727037244]]",5,3,0,1,,[],R1,029-013-071
